gene_name,gene_id,num_codewords,num_probesets,protein_name,location,cell_type,cellchat_pathway
Bcl2l11,ENSMUSG00000027381,2,2,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Membrane,,
Bcl2l12,ENSMUSG00000003190,2,2,BCL2-like 12 (proline rich),,,
Bcl2l2,ENSMUSG00000089682,2,2,Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W) (c98),Mitochondrion membrane,,
Bcl3,ENSMUSG00000053175,2,2,B-cell lymphoma 3 protein homolog (BCL-3),Nucleus,luminal epithelial cell of mammary gland;mammary gland epithelial cell,
Bcl6,ENSMUSG00000022508,2,2,B-cell lymphoma 6 protein homolog,Nucleus,,
Bcl7a,ENSMUSG00000029438,2,2,B-cell CLL/lymphoma 7 protein family member A,,,
Bcl7b,ENSMUSG00000029681,2,2,B-cell CLL/lymphoma 7 protein family member B,,,
Bcl7c,ENSMUSG00000030814,2,2,B-cell CLL/lymphoma 7 protein family member C (B-cell chronic lymphocytic leukemia/lymphoma 7C protein),,Leydig cell,
Bclaf1,ENSMUSG00000037608,2,2,Bcl-2-associated transcription factor 1 (Btf),Cytoplasm,,
Bco1,ENSMUSG00000031845,2,2,"Beta,beta-carotene 15,15'-dioxygenase",Cytoplasm,,
Bcor,ENSMUSG00000040363,2,2,BCL-6 corepressor (BCoR),Nucleus,,
Bcr,ENSMUSG00000009681,2,2,Breakpoint cluster region protein,Postsynaptic density,prostate gland microvascular endothelial cell;smooth muscle cell of trachea;pancreatic stellate cell,
Bdh1,ENSMUSG00000046598,2,2,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",Mitochondrion inner membrane,,
Bdkrb1,ENSMUSG00000041347,2,2,B1 bradykinin receptor (B1R) (BK-1 receptor),Cell membrane,skeletal muscle satellite cell;muscle precursor cell,BRADYKININ
Bdkrb2,ENSMUSG00000021070,2,2,B2 bradykinin receptor (B2R) (BK-2 receptor),Cell membrane,,BRADYKININ
Bdnf,ENSMUSG00000048482,2,2,Brain-derived neurotrophic factor (BDNF),Secreted,,NT
Becn1,ENSMUSG00000035086,2,2,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein),Cytoplasm,,
Bex3,ENSMUSG00000046432,2,2,Protein BEX3 (Brain-expressed X-linked protein 3 homolog) (Nerve growth factor receptor-associated protein 1) (p75NTR-associated cell death executor),Nucleus;Cytoplasm,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;endocrine cell,
Bfsp1,ENSMUSG00000027420,2,2,Filensin (Beaded filament structural protein 1) (Lens fiber cell beaded-filament structural protein CP 95) (CP95),Cell membrane,,
Bglap,ENSMUSG00000074483,2,2,Osteocalcin (OG1) (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein),Secreted,,
Bglap2,ENSMUSG00000074486,2,2,Osteocalcin-2 (OG2) (Bone Gla protein 2) (BGP2) (Gamma-carboxyglutamic acid-containing protein 2),Secreted,,
Bhlha15,ENSMUSG00000052271,2,2,"Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)",Nucleus,epithelial cell of prostate;luminal cell of prostate epithelium,
Bhlhe22,ENSMUSG00000025128,2,2,Class E basic helix-loop-helix protein 22 (bHLHe22) (Class B basic helix-loop-helix protein 5) (bHLHb5) (Protein BETA3),Nucleus,,
Bhlhe40,ENSMUSG00000030103,2,2,Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (E47 interaction protein 1) (EIP1) (Stimulated by retinoic acid gene 13 protein),Cytoplasm,Langerhans cell;chondrocyte,
Bhmt,ENSMUSG00000074768,2,2,Betaine--homocysteine S-methyltransferase 1,Cytoplasm,,
Bicd2,ENSMUSG00000037933,2,2,Protein bicaudal D homolog 2 (Bic-D 2),Golgi apparatus,,
Bid,ENSMUSG00000004446,2,2,BH3-interacting domain death agonist (p22 BID) (BID),Cytoplasm,,
Bin1,ENSMUSG00000024381,2,2,Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1) (SH3 domain-containing protein 9),Nucleus,phagocyte;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;oligodendrocyte,
Birc2,ENSMUSG00000057367,2,2,Baculoviral IAP repeat-containing protein 2,Cytoplasm,endothelial cell of lymphatic vessel,
Birc3,ENSMUSG00000032000,2,2,Baculoviral IAP repeat-containing protein 3,Cytoplasm,skeletal muscle satellite cell;muscle precursor cell,
Birc5,ENSMUSG00000017716,3,3,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin) (TIAP),Cytoplasm,megakaryocyte-erythroid progenitor cell;promonocyte;erythroblast;hematopoietic precursor cell;myeloid lineage restricted progenitor cell;granulocytopoietic cell,
Blk,ENSMUSG00000014453,2,2,Tyrosine-protein kinase Blk,Cell membrane,"mononuclear cell;lymphocyte;B cell;innate lymphoid cell;erythroid progenitor cell;erythroid progenitor cell, mammalian",
Blmh,ENSMUSG00000020840,2,2,Bleomycin hydrolase (BH) (BLM hydrolase) (BMH),Cytoplasm,,
Blnk,ENSMUSG00000061132,2,2,B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Lymphocyte antigen 57) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (Slp-65),Cytoplasm,late pro-B cell;plasma cell,
Bloc1s5,ENSMUSG00000038982,2,2,Biogenesis of lysosome-related organelles complex 1 subunit 5 (BLOC-1 subunit 5) (Protein Muted homolog),,,
Bloc1s6,ENSMUSG00000005804,2,2,Biogenesis of lysosome-related organelles complex 1 subunit 6 (BLOC-1 subunit 6) (Pallid protein) (Pallidin) (Syntaxin 13-interacting protein),Cytoplasm,,
Bmf,ENSMUSG00000040093,2,2,Bcl-2-modifying factor,,,
Bmi1,ENSMUSG00000026739,2,2,Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4),Nucleus,,
Bmp1,ENSMUSG00000022098,2,2,Bone morphogenetic protein 1 (BMP-1),Golgi apparatus,vascular leptomeningeal cell;mesothelial fibroblast,
Bmp10,ENSMUSG00000030046,2,2,Bone morphogenetic protein 10 (BMP-10),Secreted,,
Bmp15,ENSMUSG00000023279,2,2,Bone morphogenetic protein 15 (BMP-15) (Growth/differentiation factor 9B) (GDF-9B),Secreted,,
Bmp2,ENSMUSG00000027358,2,2,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;chondrocyte,
Bmp3,ENSMUSG00000029335,2,2,Bone morphogenetic protein 3 (BMP-3),Secreted,,
Bmp4,ENSMUSG00000021835,2,2,Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B),Secreted,smooth muscle cell of the pulmonary artery,
Bmp5,ENSMUSG00000032179,2,2,Bone morphogenetic protein 5 (BMP-5),Secreted,,
Bmp6,ENSMUSG00000039004,2,2,Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VGR-1),Secreted,kidney glomerular epithelial cell;leptomeningeal cell;vascular leptomeningeal cell (Mmus);fibroblast,
Bmp7,ENSMUSG00000008999,2,2,Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1),Secreted,,
Bmp8b,ENSMUSG00000002384,2,2,Bone morphogenetic protein 8B (BMP-8B),Secreted,,
Bmpr1a,ENSMUSG00000021796,2,2,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A),Cell membrane,,BMP;AMH
Bmpr1b,ENSMUSG00000052430,2,2,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B),Cell membrane,astrocyte,BMP;AMH
Bmpr2,ENSMUSG00000067336,2,2,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2),Cell membrane,endothelial stalk cell,BMP;BMP10;GDF
Bnc1,ENSMUSG00000025105,2,2,Zinc finger protein basonuclin-1,Nucleus,,
Bnc2,ENSMUSG00000028487,2,2,Zinc finger protein basonuclin-2,Nucleus,ciliated epithelial cell;epithelial cell of proximal tubule;columnar/cuboidal epithelial cell;kidney glomerular epithelial cell;kidney cortex tubule cell;kidney loop of Henle thin descending limb epithelial cell;leptomeningeal cell,
Bnip3,ENSMUSG00000078566,2,2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,Mitochondrion;Mitochondrion outer membrane,,
Boc,ENSMUSG00000022687,2,2,Brother of CDO (Protein BOC),Membrane,,
Borcs8,ENSMUSG00000002345,2,2,BLOC-1-related complex subunit 8,Lysosome membrane,,
Bpifb1,ENSMUSG00000027485,2,2,"BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1)",Secreted,,
Braf,ENSMUSG00000002413,2,2,Serine/threonine-protein kinase B-raf,Nucleus,,
Brca1,ENSMUSG00000017146,2,2,Breast cancer type 1 susceptibility protein homolog,Nucleus,,
Brca2,ENSMUSG00000041147,2,2,Breast cancer type 2 susceptibility protein homolog (Fanconi anemia group D1 protein homolog),Nucleus,,
Brcc3,ENSMUSG00000031201,2,2,Lys-63-specific deubiquitinase BRCC36,Nucleus,,
Brd2,ENSMUSG00000024335,3,2,Bromodomain-containing protein 2 (Female sterile homeotic-related protein 1) (Fsrg-1) (Protein RING3),Nucleus,smooth muscle cell of trachea,
Brd4,ENSMUSG00000024002,2,2,Bromodomain-containing protein 4 (Mitotic chromosome-associated protein) (MCAP),Nucleus,,
Brd7,ENSMUSG00000031660,2,2,Bromodomain-containing protein 7 (75 kDa bromodomain protein),Nucleus,,
Brd8,ENSMUSG00000003778,2,2,Bromodomain-containing protein 8,Nucleus,,
Brip1,ENSMUSG00000034329,3,3,Fanconi anemia group J protein homolog (Protein FACJ),Nucleus,,
Brpf1,ENSMUSG00000001632,2,2,Peregrin (Bromodomain and PHD finger-containing protein 1),Nucleus,,
Brpf3,ENSMUSG00000063952,2,2,Bromodomain and PHD finger-containing protein 3,Nucleus,,
Brs3,ENSMUSG00000031130,2,2,Bombesin receptor subtype-3 (BRS-3),Cell membrane,,
Brsk2,ENSMUSG00000053046,2,2,Serine/threonine-protein kinase BRSK2,Cytoplasm,,
Brwd3,ENSMUSG00000063663,2,2,Bromodomain and WD repeat-containing protein 3,,,
Bsn,ENSMUSG00000032589,3,2,Protein bassoon,Cytoplasm,pyramidal neuron;L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,
Bsnd,ENSMUSG00000025418,2,2,Barttin,Basolateral cell membrane,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle epithelial cell;kidney collecting duct cell,
Bsx,ENSMUSG00000054360,2,2,Brain-specific homeobox protein homolog,Cytoplasm,,
Btbd2,ENSMUSG00000003344,2,2,BTB (POZ) domain containing 2,,,
Btbd9,ENSMUSG00000062202,2,2,BTB/POZ domain-containing protein 9,,hippocampal neuron,
Btc,ENSMUSG00000082361,2,2,Probetacellulin,Cell membrane,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;Schwann cell;kidney collecting duct cell,
Btk,ENSMUSG00000031264,2,2,Tyrosine-protein kinase BTK,Cytoplasm,,
Btla,ENSMUSG00000052013,2,2,B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272),Cell membrane,B cell,
Btrc,ENSMUSG00000025217,2,2,F-box/WD repeat-containing protein 1A (Beta-TrCP protein E3RS-IkappaB) (Beta-transducin repeat-containing protein) (Beta-TrCP) (E3RSIkappaB) (mE3RS-IkappaB) (F-box and WD repeats protein beta-TrCP) (HOS) (Ubiquitin ligase FWD1) (pIkappaB-E3 receptor subunit),Cytoplasm,,
Bub1,ENSMUSG00000027379,2,2,Mitotic checkpoint serine/threonine-protein kinase BUB1 (mBUB1),Nucleus;Chromosome,,
Bub1b,ENSMUSG00000040084,2,2,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,Cytoplasm,,
C1ql1,ENSMUSG00000045532,2,2,C1q-related factor (C1q and tumor necrosis factor-related protein 14) (C1q/TNF-related protein 14) (CTRP14) (Complement component 1 Q subcomponent-like 1),Secreted,Schwann cell,ADGRB
C1qtnf12,ENSMUSG00000023571,2,2,Adipolin (Adipose-derived insulin-sensitizing factor) (Complement C1q tumor necrosis factor-related protein 12),Secreted,,
C1qtnf5,ENSMUSG00000079592,2,2,Complement C1q tumor necrosis factor-related protein 5,Secreted,,
C2,ENSMUSG00000024371,3,3,Complement C2,Secreted,mesothelial cell of pleura;mesothelial cell of visceral pleura;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;endothelial cell of lymphatic vessel;Hofbauer cell;fibroblast;pancreatic stellate cell;lung secretory cell,
C2cd6,ENSMUSG00000072295,2,2,Cation channel sperm-associated targeting subunit tau (CatSper-tau) (C2 calcium-dependent domain-containing 6),Cell projection,,
C3,ENSMUSG00000024164,1,1,Complement C3 (HSE-MSF),Secreted,mesenchymal stem cell;mesenchymal stem cell of adipose tissue;intrahepatic cholangiocyte;mesothelial cell of pleura;mesothelial cell of visceral pleura;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;club cell;inflammatory macrophage;microglial cell;follicular dendritic cell;fibroblast;keratocyte;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of connective tissue of prostate;mesothelial fibroblast;adventitial cell;tracheobronchial serous cell;serous cell of epithelium of trachea,
C3ar1,ENSMUSG00000040552,2,2,C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R) (Complement component 3a receptor 1),Cell membrane,phagocyte;macrophage;tissue-resident macrophage;professional antigen presenting cell;myeloid leukocyte;myeloid cell,COMPLEMENT
C4b,ENSMUSG00000073418,2,2,Complement C4-B,Secreted,mesenchymal stem cell of adipose tissue;cardiac neuron;fibroblast;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;adventitial cell,
C4bp,ENSMUSG00000026405,2,2,Complement component 4 binding protein,,hepatocyte,
C5ar1,ENSMUSG00000049130,2,2,C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88),Cell membrane,alveolar macrophage;lung macrophage;blood cell;granulocyte;neutrophil;myeloid leukocyte;myeloid cell;proerythroblast,COMPLEMENT
C5ar2,ENSMUSG00000074361,2,2,C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77),Cell membrane,,
C6,ENSMUSG00000022181,2,2,Complement component C6,Secreted,cholangiocyte;intrahepatic cholangiocyte;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;lung secretory cell,
C7,ENSMUSG00000079105,2,2,Complement component 7,Secreted,retinal blood vessel endothelial cell;lung microvascular endothelial cell;lung endothelial cell;endocardial cell;Leydig cell;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;bronchus fibroblast of lung;fibroblast of connective tissue of prostate;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;kidney interstitial fibroblast;stromal cell;theca cell;interstitial cell of ovary;mesenchymal cell;kidney interstitial cell,
Cab39l,ENSMUSG00000021981,2,2,Calcium-binding protein 39-like (MO25beta) (Mo25-like protein),,ependymal cell,
Cabp1,ENSMUSG00000029544,2,2,Calcium-binding protein 1 (CaBP1),,,
Cacna1a,ENSMUSG00000034656,2,2,"Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)",Cell membrane,neural cell;neuron;cerebellar Golgi cell;granule cell;cerebellar granule cell;Purkinje cell,
Cacna1b,ENSMUSG00000004113,2,2,"Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)",Membrane,sncg GABAergic cortical interneuron,
Cacna1c,ENSMUSG00000051331,2,2,"Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (MELC-CC) (Mouse brain class C) (MBC) (Voltage-gated calcium channel subunit alpha Cav1.2)",Cell membrane,cerebellar granule cell;medium spiny neuron;pericyte,
Cacna1d,ENSMUSG00000015968,2,2,"Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)",Membrane,interneuron;cerebellar Golgi cell;meis2 expressing cortical GABAergic cell,
Cacna1g,ENSMUSG00000020866,2,2,Voltage-dependent T-type calcium channel subunit alpha,Membrane,Purkinje cell,
Cacna1h,ENSMUSG00000024112,2,2,Voltage-dependent T-type calcium channel subunit alpha-1H (Voltage-gated calcium channel subunit alpha Cav3.2),Cell membrane,,
Cacna1s,ENSMUSG00000026407,2,2,"Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Dihydropyridine receptor) (DHPR) (Voltage-gated calcium channel subunit alpha Cav1.1)",Cell membrane,B cell;precursor B cell;late pro-B cell;plasma cell,
Cacna2d1,ENSMUSG00000040118,2,2,Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1),Membrane,lamp5 GABAergic cortical interneuron;pyramidal neuron;L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;Cajal-Retzius cell;glutamatergic neuron;L2/3-6 intratelencephalic projecting glutamatergic cortical neuron;L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,
Cacna2d2,ENSMUSG00000010066,2,2,Voltage-dependent calcium channel subunit alpha-2/delta-2 (Protein ducky) (Voltage-gated calcium channel subunit alpha-2/delta-2),Membrane,sst GABAergic cortical interneuron;pvalb GABAergic cortical interneuron;Purkinje cell;Cajal-Retzius cell,
Cacnb1,ENSMUSG00000020882,2,2,Voltage-dependent L-type calcium channel subunit beta-1 (CAB1) (Calcium channel voltage-dependent subunit beta 1),Cell membrane,,
Cacng1,ENSMUSG00000020722,2,2,"Voltage-dependent calcium channel gamma-1 subunit (Dihydropyridine-sensitive L-type, skeletal muscle calcium channel subunit gamma)",Cell membrane,,
Cacng2,ENSMUSG00000019146,2,2,Voltage-dependent calcium channel gamma-2 subunit (Neuronal voltage-gated calcium channel gamma-2 subunit) (Stargazin) (Transmembrane AMPAR regulatory protein gamma-2) (TARP gamma-2),Membrane,interneuron;pvalb GABAergic cortical interneuron;inhibitory interneuron,
Cacng3,ENSMUSG00000066189,3,3,Voltage-dependent calcium channel gamma-3 subunit (Neuronal voltage-gated calcium channel gamma-3 subunit) (Transmembrane AMPAR regulatory protein gamma-3) (TARP gamma-3),Membrane,cerebellar Golgi cell,
Cadm1,ENSMUSG00000032076,3,2,Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1),Cell membrane,,CADM
Cadm3,ENSMUSG00000005338,2,2,Cell adhesion molecule 3 (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (TSLC1-like protein 1),Cell membrane,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CADM;NECTIN
Cadps2,ENSMUSG00000017978,2,2,Calcium-dependent secretion activator 2 (Calcium-dependent activator protein for secretion 2) (CAPS-2),Cytoplasmic vesicle membrane,sncg GABAergic cortical interneuron;granule cell;cerebellar granule cell,
Calb1,ENSMUSG00000028222,3,2,"Calbindin (Calbindin D28) (D-28K) (PCD-29) (Spot 35 protein) (Vitamin D-dependent calcium-binding protein, avian-type)",,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;pancreatic PP cell;PP cell;kidney distal convoluted tubule epithelial cell;kidney connecting tubule epithelial cell;sst GABAergic cortical interneuron;Purkinje cell;kidney collecting duct cell,
Calb2,ENSMUSG00000003657,2,2,Calretinin (CR),,vip GABAergic cortical interneuron;Cajal-Retzius cell,
Calcr,ENSMUSG00000023964,2,2,Calcitonin receptor (CT-R),Cell membrane,renal alpha-intercalated cell,ADM;CALC;IAPP
Calcrl,ENSMUSG00000059588,2,2,Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor),Cell membrane,blood vessel endothelial cell;vein endothelial cell;endothelial cell of artery;capillary endothelial cell;endothelial cell;endothelial cell of vascular tree;muscle cell;smooth muscle cell;smooth muscle cell of the pulmonary artery;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;hepatic stellate cell,ADM;CALC;IAPP
Calu,ENSMUSG00000029767,2,2,Calumenin (Crocalbin),Endoplasmic reticulum membrane,,
Camk1d,ENSMUSG00000039145,2,2,Calcium/calmodulin-dependent protein kinase type 1D,Cytoplasm,pyramidal neuron;L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,
Camk2a,ENSMUSG00000024617,1,1,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha),Cytoplasm,pyramidal neuron;L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;L5 extratelencephalic projecting glutamatergic cortical neuron;glutamatergic neuron;L2/3-6 intratelencephalic projecting glutamatergic cortical neuron;L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;corticothalamic-projecting glutamatergic cortical neuron;L6 corticothalamic-projecting glutamatergic cortical neuron;L6b glutamatergic cortical neuron;hippocampal neuron,
Camk2b,ENSMUSG00000057897,2,2,Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta),Cytoplasm,pyramidal neuron;L5 extratelencephalic projecting glutamatergic cortical neuron;hippocampal neuron,
Camk2d,ENSMUSG00000053819,2,2,Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta),Cell membrane,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;L5/6 near-projecting glutamatergic neuron of the primary motor cortex,
Camk2g,ENSMUSG00000021820,2,2,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma),Sarcoplasmic reticulum membrane,,
Camk4,ENSMUSG00000038128,2,2,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV),Cytoplasm,neuron;L5 extratelencephalic projecting glutamatergic cortical neuron;granule cell;cerebellar granule cell;medium spiny neuron;glutamatergic neuron;L2/3-6 intratelencephalic projecting glutamatergic cortical neuron;L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;corticothalamic-projecting glutamatergic cortical neuron;L6 corticothalamic-projecting glutamatergic cortical neuron;L6b glutamatergic cortical neuron,
Camkv,ENSMUSG00000032936,2,2,CaM kinase-like vesicle-associated protein,Cell membrane,L5 extratelencephalic projecting glutamatergic cortical neuron;L6b glutamatergic cortical neuron,
Camsap1,ENSMUSG00000026933,2,2,Calmodulin-regulated spectrin-associated protein 1,Cytoplasm,,
Camsap2,ENSMUSG00000041570,2,2,Calmodulin-regulated spectrin-associated protein 2 (Calmodulin-regulated spectrin-associated protein 1-like protein 1),Cytoplasm,,
Camsap3,ENSMUSG00000044433,2,2,Calmodulin-regulated spectrin-associated protein 3 (Marshalin) (Protein Nezha),Cytoplasm,,
Camta2,ENSMUSG00000040712,2,2,Calmodulin-binding transcription activator 2,Nucleus,,
Canx,ENSMUSG00000020368,2,1,Calnexin,Endoplasmic reticulum membrane,,
Cap2,ENSMUSG00000021373,4,2,Adenylyl cyclase-associated protein 2 (CAP 2),Cell membrane,pyramidal neuron;L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;L5 extratelencephalic projecting glutamatergic cortical neuron;glutamatergic neuron;L2/3-6 intratelencephalic projecting glutamatergic cortical neuron;L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex;corticothalamic-projecting glutamatergic cortical neuron;L6 corticothalamic-projecting glutamatergic cortical neuron,
Capn1,ENSMUSG00000024942,2,2,Calpain-1 catalytic subunit,Cytoplasm,,
Capn10,ENSMUSG00000026270,2,2,Calpain-10,,,
Capn2,ENSMUSG00000026509,2,2,Calpain-2 catalytic subunit,Cytoplasm,type I pneumocyte,
Caprin1,ENSMUSG00000027184,2,2,Caprin-1 (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105),Cytoplasm,,
Car4,ENSMUSG00000000805,2,2,Carbonic anhydrase,,enterocyte;enterocyte of epithelium of large intestine;blood vessel endothelial cell;endothelial stalk cell;endothelial cell of coronary artery;endothelial cell of artery;epithelial cell of large intestine;endothelial cell;endothelial cell of vascular tree;cardiac endothelial cell;alveolar macrophage;tracheobronchial smooth muscle cell;bronchial smooth muscle cell,
Car7,ENSMUSG00000031883,2,2,Carbonic anhydrase,,,
Card9,ENSMUSG00000026928,2,2,Caspase recruitment domain-containing protein 9,Cytoplasm,,
Carm1,ENSMUSG00000032185,2,2,Histone-arginine methyltransferase CARM1,Nucleus,,
Carmil1,ENSMUSG00000021338,2,2,"F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (CARML1) (Leucine-rich repeat-containing protein 16A)",Cytoplasm,kidney connecting tubule epithelial cell,
Carns1,ENSMUSG00000075289,2,2,Carnosine synthase 1,,,
Cartpt,ENSMUSG00000021647,3,3,Cocaine- and amphetamine-regulated transcript protein,Secreted,,
Casc4,ENSMUSG00000060227,2,2,,,,
Caskin1,ENSMUSG00000033597,2,2,Caskin-1 (CASK-interacting protein 1),Cytoplasm,,
Casp1,ENSMUSG00000025888,2,2,Caspase-1 (CASP-1),Cytoplasm,,
Casp12,ENSMUSG00000025887,2,2,Caspase-12 (CASP-12),,duct epithelial cell,
Casp2,ENSMUSG00000029863,2,2,Caspase-2 (CASP-2),,,
Casp3,ENSMUSG00000031628,2,2,Caspase-3 (CASP-3),Cytoplasm,eosinophil;mast cell,
Casp4,ENSMUSG00000033538,2,2,Caspase-4 (CASP-4),Cytoplasm,prostate gland microvascular endothelial cell;Schwann cell,
Casp7,ENSMUSG00000025076,2,2,Caspase-7 (CASP-7),Cytoplasm,kidney loop of Henle medullary thick ascending limb epithelial cell,
Casp8,ENSMUSG00000026029,2,2,Caspase-8 (CASP-8),Cytoplasm,,
Casp9,ENSMUSG00000028914,2,2,Caspase-9 (CASP-9),,,
Casq1,ENSMUSG00000007122,2,2,"Calsequestrin-1 (Calmitine) (Calsequestrin, skeletal muscle isoform)",Endoplasmic reticulum,,
